project,street,lat,lng,lease_year,lease_month,property_type,district,area_name,area_sqm_min,area_sqm_max,area_sqft_min,area_sqft_max,no_of_bedrooms,rent
"38 I SUITES","IPOH LANE",1.311783,103.896233,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",40,50,400,500,2,3000
"38 I SUITES","IPOH LANE",1.311783,103.896233,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",40,50,500,600,2,2800
"38 I SUITES","IPOH LANE",1.311783,103.896233,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",40,50,500,600,2,3100
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,400,500,1,3200
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,500,600,1,3400
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",70,80,800,900,2,4000
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,500,600,1,3200
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,500,600,1,3450
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,400,500,1,3300
"6 DERBYSHIRE","DERBYSHIRE ROAD",1.315606,103.845821,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,400,500,1,3100
"7 ON CHAPEL","CHAPEL ROAD",1.306585,103.907692,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",60,70,600,700,1,4200
"76 SHENTON","SHENTON WAY",1.273565,103.845478,2026,3,"Non-landed Properties",02,"Anson, Tanjong Pagar",50,60,600,700,1,4600
"76 SHENTON","SHENTON WAY",1.273565,103.845478,2026,3,"Non-landed Properties",02,"Anson, Tanjong Pagar",90,100,900,1000,2,5700
"76 SHENTON","SHENTON WAY",1.273565,103.845478,2026,3,"Non-landed Properties",02,"Anson, Tanjong Pagar",50,60,500,600,1,4100
"76 SHENTON","SHENTON WAY",1.273565,103.845478,2026,3,"Non-landed Properties",02,"Anson, Tanjong Pagar",50,60,500,600,1,4000
"76 SHENTON","SHENTON WAY",1.273565,103.845478,2026,3,"Non-landed Properties",02,"Anson, Tanjong Pagar",50,60,500,600,1,4300
"77 @ EAST COAST","UPPER EAST COAST ROAD",1.313452,103.927344,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",60,70,700,800,1,3600
"77 @ EAST COAST","UPPER EAST COAST ROAD",1.313452,103.927344,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",90,100,900,1000,3,4500
"77 @ EAST COAST","UPPER EAST COAST ROAD",1.313452,103.927344,2026,3,"Non-landed Properties",15,"Katong, Joo Chiat, Amber Road",40,50,400,500,1,3000
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",1.301338,103.845876,2026,3,"Non-landed Properties",09,"Orchard, River Valley",130,140,1400,1500,3,6800
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",1.301338,103.845876,2026,3,"Non-landed Properties",09,"Orchard, River Valley",120,130,1300,1400,3,6800
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",1.301338,103.845876,2026,3,"Non-landed Properties",09,"Orchard, River Valley",200,210,2100,2200,3,8800
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",1.301338,103.845876,2026,3,"Non-landed Properties",09,"Orchard, River Valley",70,80,800,900,1,3900
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",1.301338,103.845876,2026,3,"Non-landed Properties",09,"Orchard, River Valley",230,240,2400,2500,3,8700
"8 BASSEIN","BASSEIN ROAD",1.323455,103.848036,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",40,50,400,500,1,3000
"8 BASSEIN","BASSEIN ROAD",1.323455,103.848036,2026,3,"Non-landed Properties",11,"Novena, Thomson, Watten",30,40,400,500,1,2750
"8 FARRER SUITES","SING JOO WALK",1.314915,103.854767,2026,3,"Non-landed Properties",08,"Little India",80,90,900,1000,3,5000
"8 HULLET","HULLET ROAD",1.302945,103.83864,2026,3,"Non-landed Properties",09,"Orchard, River Valley",60,70,600,700,2,4800
"8 RODYK","RODYK STREET",1.29016,103.837476,2026,3,"Non-landed Properties",09,"Orchard, River Valley",60,70,700,800,1,4800
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",40,50,400,500,1,4000
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",90,100,1000,1100,2,7500
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",80,90,800,900,2,5800
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",120,130,1300,1400,3,9800
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",40,50,500,600,1,4900
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",120,130,1300,1400,3,9700
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",80,90,800,900,2,5700
"8 SAINT THOMAS","ST. THOMAS WALK",1.296821,103.836127,2026,3,"Non-landed Properties",09,"Orchard, River Valley",40,50,500,600,1,4100
8@WOODLEIGH,"WOODLEIGH CLOSE",1.335981,103.869765,2026,3,"Non-landed Properties",13,"Macpherson, Braddell",120,130,1300,1400,4,6100
8@WOODLEIGH,"WOODLEIGH CLOSE",1.335981,103.869765,2026,3,"Non-landed Properties",13,"Macpherson, Braddell",30,40,300,400,,2700
8@WOODLEIGH,"WOODLEIGH CLOSE",1.335981,103.869765,2026,3,"Non-landed Properties",13,"Macpherson, Braddell",70,80,800,900,2,4200
8@WOODLEIGH,"WOODLEIGH CLOSE",1.335981,103.869765,2026,3,"Non-landed Properties",13,"Macpherson, Braddell",80,90,900,1000,3,5200
